store_number,recency,frequency,monetary_value
10003,4,791,76617.08
10004,4,196,26655.329999999987
10005,4,1033,88891.35
10016,15,191,23576.590000000007
10017,10,177,23028.170000000013
10018,32,204,27072.31
10019,3,470,57709.030000000006
10020,1,885,57740.820000000022
10021,2,658,80583.06
10023,16,128,18799.339999999997
10024,12,211,25149.749999999993
10025,30,150,22408.339999999993
10028,1,366,44904.980000000032
10029,2,1336,109512.89000000001
10030,11,14,8568.0
10032,2,216,31008.440000000006
10033,3,468,21643.649999999994
10034,15,241,35511.01
10035,4,834,46525.42
10036,4,559,90422.62000000001
10037,1,2412,99275.410000000047
10038,5,267,16280.319999999996
10039,1,2692,490035.25
10040,18,141,7979.5900000000011
10042,1,527,24678.440000000002
10044,1,125,16203.349999999999
10045,4,373,33783.8
10046,4,462,31946.21999999999
10048,19,152,19504.059999999998
10049,3,318,14993.850000000004
10050,3,388,21811.71
10051,15,191,22078.630000000005
10052,22,115,15757.25
10053,1,306,13744.549999999994
10057,9,225,26154.890000000007
10058,4,296,34725.479999999996
10059,10,50,11918.889999999998
10060,2,796,79601.700000000012
10061,3,210,10041.72
10062,1,133,18180.91
10063,3,264,27612.070000000007
10064,1,122,12659.13
10065,5,915,313016.26999999996
10066,53,125,14238.76
10067,73,101,7043.4199999999992
10070,4,378,44791.839999999989
10071,57,399,9255.72
10072,4,231,24220.159999999993
10073,1,328,35161.599999999984
10074,4,202,747749.01
10075,12,75,1697.6200000000006
10076,1,1284,124925.77999999997
10077,3,123,17079.85999999999
10078,2,199,25718.150000000009
10080,3,118,14166.069999999998
10081,3,104,3108.0700000000006
10082,1,194,48208.179999999986
10083,15,145,17729.980000000007
10089,10,23,1582.5900000000001
10090,16,66,9515.6799999999967
10091,15,73,11286.369999999999
10093,3,176,23504.510000000009
10094,29,72,11205.96
10095,3,159,18072.440000000002
10096,26,112,8574.9
10097,3,216,22847.160000000007
10098,4,29,3197.73
10099,5,235,47887.450000000004
10100,4,143,12860.09
10101,26,28,2213.69
